[CSG, ATL, Columbus, GA, Atlanta, GA, 892, 3692, 26, 83.0, 199304, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3454, 6420, 60, 83.0, 199304, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1492, 3103, 29, 83.0, 199306, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3340, 5910, 197, 83.0, 199311, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3326, 8378, 59, 83.0, 199306, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 80, 148, 1, 83.0, 199306, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2343, 6420, 60, 83.0, 199301, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 600, 3550, 25, 83.0, 199301, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4026, 6330, 211, 83.0, 199307, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3529, 8520, 60, 83.0, 199307, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3482, 6417, 61, 83.0, 199310, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1128, 3312, 24, 83.0, 199311, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1587, 3414, 32, 83.0, 199308, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3695, 6360, 212, 83.0, 199308, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 888, 3550, 25, 83.0, 199305, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1128, 3588, 26, 83.0, 199312, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3319, 6240, 208, 83.0, 199310, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3387, 6527, 61, 83.0, 199305, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3221, 6099, 57, 83.0, 199303, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 939, 3550, 25, 83.0, 199302, 276628, 3339551]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1363, 3465, 33, 83.0, 199404, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3801, 6270, 209, 83.0, 199408, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3006, 6000, 200, 83.0, 199412, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2388, 6900, 50, 83.0, 199412, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1226, 3255, 31, 83.0, 199412, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1095, 3150, 30, 83.0, 199410, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2467, 8142, 59, 83.0, 199410, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3476, 6270, 209, 83.0, 199410, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 14, 145, 1, 83.0, 199410, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 716, 3450, 25, 83.0, 199401, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3255, 6120, 204, 83.0, 199401, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2460, 5985, 57, 83.0, 199401, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2797, 8004, 58, 83.0, 199409, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1472, 2940, 28, 83.0, 199409, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3692, 6090, 203, 83.0, 199409, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2518, 7452, 54, 83.0, 199411, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1146, 2940, 28, 83.0, 199411, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3601, 5940, 198, 83.0, 199411, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3318, 6150, 205, 83.0, 199403, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 7, 134, 1, 83.0, 199405, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3548, 6390, 213, 83.0, 199405, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 764, 3312, 24, 83.0, 199403, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2851, 6300, 60, 83.0, 199403, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1606, 3255, 31, 83.0, 199408, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1639, 3255, 31, 83.0, 199407, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3109, 7728, 56, 83.0, 199407, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3217, 5430, 181, 83.0, 199402, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 831, 3036, 22, 83.0, 199402, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2666, 5775, 55, 83.0, 199402, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3344, 6210, 207, 83.0, 199404, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4022, 6630, 221, 83.0, 199407, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 45, 145, 1, 83.0, 199408, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2666, 7176, 52, 83.0, 199404, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3660, 6210, 207, 83.0, 199406, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3018, 7452, 54, 83.0, 199406, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1512, 3255, 31, 83.0, 199406, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3147, 8694, 63, 83.0, 199405, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1304, 3150, 30, 83.0, 199405, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3430, 8142, 59, 83.0, 199408, 279539, 3444861]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2995, 6240, 208, 83.0, 199508, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1719, 7452, 54, 83.0, 199501, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4051, 9630, 90, 83.0, 199505, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3024, 6210, 207, 83.0, 199503, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1051, 2992, 28, 83.0, 199503, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2227, 7762, 55, 83.0, 199503, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4088, 9198, 86, 83.0, 199507, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1616, 5938, 43, 83.0, 199502, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2599, 6060, 202, 83.0, 199510, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3813, 8881, 83, 83.0, 199511, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1092, 3520, 40, 83.0, 199512, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2576, 5460, 182, 83.0, 199502, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3780, 9523, 89, 83.0, 199510, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2738, 6270, 209, 83.0, 199501, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 838, 3255, 31, 83.0, 199501, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1248, 3103, 29, 83.0, 199504, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 46, 107, 1, 83.0, 199512, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2574, 6180, 206, 83.0, 199507, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2019, 4950, 75, 83.0, 199512, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 96, 142, 1, 83.0, 199505, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2684, 6360, 212, 83.0, 199505, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2189, 4530, 151, 83.0, 199512, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 83, 284, 2, 83.0, 199508, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4910, 9416, 88, 83.0, 199508, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2910, 6090, 203, 83.0, 199504, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2675, 5880, 196, 83.0, 199509, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3744, 8988, 84, 83.0, 199509, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2930, 6150, 205, 83.0, 199506, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2482, 5610, 187, 83.0, 199511, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 984, 2849, 27, 83.0, 199502, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2376, 7810, 55, 83.0, 199504, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 4749, 9416, 88, 83.0, 199506, 278010, 3548667]
[CSG, ATL, Columbus, GA, Atlanta, GA, 3935, 8580, 130, 83.0, 199611, 277769, 3652439]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2536, 4470, 149, 83.0, 199602, 277769, 3652439]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2481, 5082, 77, 83.0, 199608, 277769, 3652439]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1300, 4312, 49, 83.0, 199603, 277769, 3652439]
[CSG, ATL, Columbus, GA, Atlanta, GA, 2380, 5280, 80, 83.0, 199607, 277769, 3652439]
[CSG, ATL, Columbus, GA, Atlanta, GA, 1875, 4950, 75, 83.0, 199603, 277769, 3652439]
